icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
acced9,AAL2433 ,United States,1659915689.0,1659915689,-106.9931,35.8328,9753.6,False,242.41,309.23,0.0,,10393.68,,False,0,1659915689,2022-08-07,19:41:29
a2119d,TRF532  ,United States,1659915688.0,1659915689,-96.3367,33.1664,2057.4,False,60.29,64.75,0.0,,2164.08,2713,False,0,1659915689,2022-08-07,19:41:29
aa9520,N781KB  ,United States,1659915689.0,1659915689,-110.8435,32.7138,8831.58,False,192.93,126.11,4.23,,9380.22,,False,0,1659915689,2022-08-07,19:41:29
aad24a,N797CT  ,United States,1659915654.0,1659915656,-107.7337,41.7157,12489.18,False,265.53,69.35,0.0,,13228.32,,False,0,1659915689,2022-08-07,19:41:29
a129d9,UPS918  ,United States,1659915689.0,1659915689,-117.4301,34.0546,998.22,False,87.98,270.67,-4.23,,1013.46,2726,False,0,1659915689,2022-08-07,19:41:29
aae597,AAL740  ,United States,1659915687.0,1659915687,-72.6835,40.4653,9448.8,False,254.73,67.06,-0.33,,10050.78,4047,False,0,1659915689,2022-08-07,19:41:29
4bb066,THY4HX  ,Turkey,1659915689.0,1659915689,8.9182,50.4665,8046.72,False,226.24,112.6,7.48,,8412.48,6427,False,0,1659915689,2022-08-07,19:41:29
8964fe,ETD89G  ,United Arab Emirates,1659915689.0,1659915689,51.6584,26.4709,10972.8,False,257.04,290.5,-0.33,,11711.94,,False,0,1659915689,2022-08-07,19:41:29
0ac40e,VPE439  ,Colombia,1659915688.0,1659915689,-76.3348,-6.4804,10972.8,False,236.0,185.0,0.0,,11673.84,,False,0,1659915689,2022-08-07,19:41:29
0ac40d,VVC5741 ,Colombia,1659915689.0,1659915689,-79.6774,8.9963,11269.98,False,231.6,151.33,0.0,,11986.26,,False,0,1659915689,2022-08-07,19:41:29
8964d0,FDB1750 ,United Arab Emirates,1659915689.0,1659915689,25.9932,43.0968,10668.0,False,229.53,105.47,0.0,,11209.02,4145,False,0,1659915689,2022-08-07,19:41:29
a4b41b,N402AM  ,United States,1659915688.0,1659915689,-88.1524,42.6776,975.36,False,46.82,347.95,-0.33,,990.6,,False,0,1659915689,2022-08-07,19:41:29
